EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
17-04-2024 01:21:30.000.000.223                         7.41497                        -21.1924                         30.1776
17-04-2024 01:22:29.999.996.647                         6.58310                        -20.2286                         32.4397
17-04-2024 01:23:30.000.003.129                         5.03607                        -27.8379                         26.6896
17-04-2024 01:24:29.999.999.552                         7.88341                        -22.8260                         30.8049
17-04-2024 01:25:29.999.995.976                         5.50502                        -16.1167                         34.8294
17-04-2024 01:26:30.000.002.458                         7.19154                        -13.7353                         35.3528
17-04-2024 01:27:29.999.998.882                         2.23339                        -24.6550                         29.3354
17-04-2024 01:28:29.999.995.306                         2.34808                        -23.1892                         29.9844
17-04-2024 01:29:30.000.001.788                         5.22611                        -18.4037                         32.5269
17-04-2024 01:30:29.999.998.211                         7.75101                        -30.3942                         23.5107
17-04-2024 01:31:30.000.004.693                         12.0154                        -27.6682                         22.7677
17-04-2024 01:32:30.000.001.117                         12.9221                        -18.7437                         32.4815
17-04-2024 01:33:29.999.997.541                         11.9850                        -19.5394                         32.3791
17-04-2024 01:34:30.000.004.023                         12.7921                        -26.4883                         23.4446
17-04-2024 01:35:30.000.000.447                         12.2798                        -22.0538                         29.0017
17-04-2024 01:36:29.999.996.870                         10.6437                        -24.2094                         28.6392
17-04-2024 01:37:30.000.003.352                         12.6667                        -25.6088                         25.1209
17-04-2024 01:38:29.999.999.776                         16.8316                        -24.4933                         23.5364
17-04-2024 01:39:29.999.996.200                         12.7708                        -24.8004                         26.1571
17-04-2024 01:40:30.000.002.682                         10.0124                        -12.1927                         34.8425
17-04-2024 01:41:29.999.999.105                         11.9129                        -23.7807                         28.0558
17-04-2024 01:42:29.999.995.529                         13.5063                        -19.8075                         30.0652
17-04-2024 01:43:30.000.002.011                         13.4575                        -22.8830                         27.9303
17-04-2024 01:44:29.999.998.435                         12.5136                        -17.9399                         32.1370
17-04-2024 01:45:30.000.004.917                         14.3588                        -15.0809                         32.6175
17-04-2024 01:46:30.000.001.341                         13.6909                        -13.2272                         33.5783
17-04-2024 01:47:29.999.997.764                         16.5101                        -4.65831                         33.5265
17-04-2024 01:48:30.000.004.246                         19.6837                         1.22068                         30.8648
17-04-2024 01:49:30.000.000.670                         18.6515                         9.03053                         30.4693
17-04-2024 01:50:29.999.997.094                         19.4313                        -9.67352                         28.8927
17-04-2024 01:51:30.000.003.576                         19.8971                        -10.2861                         28.0539
17-04-2024 01:52:30.000.000.000                         19.9161                        -11.6052                         28.4515
17-04-2024 01:53:29.999.996.423                         16.1409                        -13.8678                         28.8044
17-04-2024 01:54:30.000.002.905                         25.4254                        -16.7356                         19.1123
17-04-2024 01:55:29.999.999.329                         28.2562                        -13.4835                         17.7444
17-04-2024 01:56:29.999.995.753                         22.6121                        -11.1176                         25.2793
