EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
19-01-2024 01:15:30.000.001.564                      -0.0927331                        -2.97415                         3.71894
19-01-2024 01:16:29.999.997.988                       -0.244528                        -3.14100                         3.55900
19-01-2024 01:17:30.000.004.470                       -0.634029                        -2.71108                         3.83762
19-01-2024 01:18:30.000.000.894                        -1.51905                        -2.49957                         3.74132
19-01-2024 01:19:29.999.997.317                        -1.72430                        -2.14127                         3.79369
19-01-2024 01:20:30.000.003.799                        -1.58555                        -2.25733                         3.68946
19-01-2024 01:21:30.000.000.223                        -1.75150                        -2.47813                         3.62588
19-01-2024 01:22:29.999.996.647                        -2.35206                        -1.39495                         3.75732
19-01-2024 01:23:30.000.003.129                        -2.33498                        -1.69760                         3.73122
19-01-2024 01:24:29.999.999.552                        -2.55377                        -1.26816                         3.82290
19-01-2024 01:25:29.999.995.976                        -2.62882                        -1.07398                         3.61022
19-01-2024 01:26:30.000.002.458                        0.839556                        -4.00420                         2.18321
19-01-2024 01:27:29.999.998.882                         1.56658                        -4.53274                        0.938962
19-01-2024 01:28:29.999.995.306                         1.09798                        -4.82692                        0.967785
19-01-2024 01:29:30.000.001.788                         1.91194                        -4.28636                         1.33800
19-01-2024 01:30:29.999.998.211                        0.851715                        -4.21264                         2.61538
19-01-2024 01:31:30.000.004.693                         1.42262                        -4.55701                         1.49759
19-01-2024 01:32:30.000.001.117                       -0.102691                        -3.58970                         3.20655
19-01-2024 01:33:29.999.997.541                        0.329071                        -3.71085                         3.14493
19-01-2024 01:34:30.000.004.023                         2.13318                        -4.22923                         1.75979
19-01-2024 01:35:30.000.000.447                       0.0793828                        -3.80623                         3.07601
19-01-2024 01:36:29.999.996.870                       -0.589303                        -3.68345                         3.09820
19-01-2024 01:37:30.000.003.352                        -1.60970                        -3.52701                         3.00531
19-01-2024 01:38:29.999.999.776                       -0.912252                        -3.35366                         3.14202
19-01-2024 01:39:29.999.996.200                        -1.92736                        -3.12567                         3.05056
19-01-2024 01:40:30.000.002.682                        -2.39588                        -3.10267                         2.72207
19-01-2024 01:41:29.999.999.105                        -1.92899                        -3.41059                         2.83985
19-01-2024 01:42:29.999.995.529                        -2.23038                        -3.50584                         2.79850
19-01-2024 01:43:30.000.002.011                        -1.83026                        -3.52175                         2.86590
19-01-2024 01:44:29.999.998.435                        -1.86420                        -3.32917                         2.91297
19-01-2024 01:45:30.000.004.917                        -1.56168                        -3.71585                         2.54754
19-01-2024 01:46:30.000.001.341                        -1.18983                        -3.81128                         2.51084
19-01-2024 01:47:29.999.997.764                        -2.07535                        -3.23407                         2.66535
19-01-2024 01:48:30.000.004.246                         1.49663                        -3.76226                         2.61527
19-01-2024 01:49:30.000.000.670                       -0.818182                        -3.65548                         3.10219
19-01-2024 01:50:29.999.997.094                        -1.49068                        -3.04275                         3.54325
19-01-2024 01:51:30.000.003.576                       -0.794280                        -3.86169                         2.42034
