EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
06-01-2024 21:24:30.000.002.905                         2.87257                        -3.22346                        -1.36829
06-01-2024 21:25:29.999.999.329                         3.68452                        -2.85279                      -0.0112035
06-01-2024 21:26:29.999.995.753                         2.93669                        -3.41996                       -0.615089
06-01-2024 21:27:30.000.002.235                         2.61434                        -3.71492                      -0.0988127
06-01-2024 21:28:29.999.998.658                         2.26390                        -3.98350                       -0.596885
06-01-2024 21:29:29.999.995.082                         2.55307                        -3.74101                       -0.959350
06-01-2024 21:30:30.000.001.564                         2.53226                        -3.50253                        -1.77456
06-01-2024 21:31:29.999.997.988                         3.01088                        -3.22701                        -1.37230
06-01-2024 21:32:30.000.004.470                         2.11451                        -3.81178                        -1.24866
06-01-2024 21:33:30.000.000.894                         3.09915                        -3.24703                        -1.80905
06-01-2024 21:34:29.999.997.317                         3.36223                        -3.17889                        -1.22164
06-01-2024 21:35:30.000.003.799                         3.04014                        -3.39437                        -1.28276
06-01-2024 21:36:30.000.000.223                         3.08278                        -3.10834                        -1.67538
06-01-2024 21:37:29.999.996.647                         3.38789                        -2.90652                        -1.63651
06-01-2024 21:38:30.000.003.129                         2.73369                        -1.01401                        -3.62668
06-01-2024 21:39:29.999.999.552                         2.43980                        -1.79518                        -3.46473
06-01-2024 21:40:29.999.995.976                         2.40214                        -2.04553                        -3.32311
06-01-2024 21:41:30.000.002.458                         2.14150                        -2.02840                        -3.70388
06-01-2024 21:42:29.999.998.882                         2.06671                        -2.10079                        -3.79909
06-01-2024 21:43:29.999.995.306                         1.85150                        -1.82125                        -3.89131
06-01-2024 21:44:30.000.001.788                         1.59071                        -1.75291                        -3.92427
06-01-2024 21:45:29.999.998.211                         1.60899                        -1.85655                        -4.03929
06-01-2024 21:46:30.000.004.693                         1.66346                        -1.41955                        -4.17534
06-01-2024 21:47:30.000.001.117                         1.24223                       -0.761611                        -4.23299
06-01-2024 21:48:29.999.997.541                         2.89147                        -2.64166                        0.504668
06-01-2024 21:49:30.000.004.023                         3.45567                        -1.82509                        -1.95699
06-01-2024 21:50:30.000.000.447                         2.98128                        -2.58078                        -1.64912
06-01-2024 21:51:29.999.996.870                         3.28333                        -2.82957                     -0.00983158
06-01-2024 21:52:30.000.003.352                         2.13013                        -1.00245                         3.91276
06-01-2024 21:53:29.999.999.776                         2.75215                        -3.30546                         1.26637
06-01-2024 21:54:29.999.996.200                         3.13047                        -2.74728                         1.90945
06-01-2024 21:55:30.000.002.682                         3.56704                        -2.20921                        -1.95530
06-01-2024 21:56:29.999.999.105                         3.91708                        -1.61066                        -1.61514
06-01-2024 21:57:29.999.995.529                         2.98803                        -2.17385                        -2.35397
06-01-2024 21:58:30.000.002.011                         3.38202                        -2.84614                        -1.55300
06-01-2024 21:59:29.999.998.435                         3.74209                        -2.12481                        -1.52427
06-01-2024 22:00:30.000.004.917                         3.80067                        -2.61235                       -0.208900
06-01-2024 22:01:30.000.001.341                         3.76807                        -2.07958                        -1.38642
06-01-2024 22:02:29.999.997.764                         4.19736                        -2.00811                       0.0157159
06-01-2024 22:03:30.000.004.246                         2.48398                        -2.92430                        -2.47006
06-01-2024 22:04:30.000.000.670                         2.39380                        -3.39471                        -1.73298
06-01-2024 22:05:29.999.997.094                         3.22837                        -3.26742                       -0.295011
06-01-2024 22:06:30.000.003.576                         2.86346                        -3.52617                        0.338756
06-01-2024 22:07:30.000.000.000                         2.89413                        -3.26946                         1.08304
06-01-2024 22:08:29.999.996.423                         3.82476                        -2.20514                         1.47513
06-01-2024 22:09:30.000.002.905                         4.36237                        -1.39780                       -0.366212
06-01-2024 22:10:29.999.999.329                         4.33008                       -0.117257                        -1.48052
06-01-2024 22:11:29.999.995.753                         4.04296                        -2.08927                       -0.354361
06-01-2024 22:12:30.000.002.235                         3.43769                       -0.972662                        -2.50410
06-01-2024 22:13:29.999.998.658                         3.25173                       -0.915822                        -2.78545
06-01-2024 22:14:29.999.995.082                         3.16299                       -0.302708                        -3.10394
06-01-2024 22:15:30.000.001.564                         3.28275                       -0.591144                        -2.89053
06-01-2024 22:16:29.999.997.988                         1.01674                        -3.56260                        0.363595
06-01-2024 22:17:30.000.004.470                         2.98580                        -3.04156                        0.147106
06-01-2024 22:18:30.000.000.894                         3.59294                        -1.94251                        0.801342
06-01-2024 22:19:29.999.997.317                         4.01442                      -0.0708209                         2.26625
06-01-2024 22:20:30.000.003.799                         2.88353                        0.480307                         3.24013
