📸 First Sighting,🛰️ Who's Getting Hit?,⏱️Time of Impact
2024-09-05 07:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-06 04:35:00')]"
2024-09-05 07:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-06 04:32:00')]"
2024-09-08 10:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-09 16:07:00')]"
2024-09-09 05:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-10 05:30:00')]"
2024-09-09 05:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-10 05:30:00')]"
2024-09-09 05:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-09 22:18:00')]"
2024-09-09 05:23:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-09 22:18:00')]"
2024-09-10 20:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-11 22:32:00')]"
2024-09-10 20:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-11 22:21:00')]"
2024-09-26 20:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-28 06:00:00')]"
2024-09-27 09:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-28 08:06:00')]"
2024-09-29 08:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-30 04:07:00')]"
2024-09-30 03:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-30 20:56:00')]"
2024-09-30 03:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-30 20:42:00')]"
2024-09-30 03:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-30 21:16:00')]"
2024-09-30 07:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-09-30 21:16:00')]"
2024-10-01 23:09:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-03 20:30:00'), ('Solar Orbiter', '2024-10-02 18:00:00')]"
2024-10-01 23:09:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-03 20:22:00'), ('Solar Orbiter', '2024-10-02 18:00:00')]"
2024-10-01 23:09:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-03 19:52:00'), ('Solar Orbiter', '2024-10-02 18:00:00')]"
2024-10-01 23:09:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-03 00:00:00'), ('STEREO A', '2024-10-04 16:30:00')]"
2024-10-01 23:09:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-03 00:00:00'), ('STEREO A', '2024-10-04 16:30:00')]"
2024-10-03 08:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-10-04 06:53:00')]"
2024-10-03 12:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-05 16:34:00'), ('Solar Orbiter', '2024-10-04 10:00:00')]"
2024-10-03 12:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-05 16:04:00'), ('Solar Orbiter', '2024-10-04 10:00:00')]"
2024-10-03 12:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-03 20:22:00'), ('Solar Orbiter', '2024-10-02 18:00:00')]"
2024-10-03 12:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-10-03 19:52:00'), ('Solar Orbiter', '2024-10-02 18:00:00')]"
2024-10-03 13:27:00,Solar Orbiter,"[('Solar Orbiter', '2024-10-04 07:02:00')]"
2024-10-03 23:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-10-04 20:00:00')]"
2024-10-09 02:09:00,Solar Orbiter,"[('Solar Orbiter', '2024-10-10 05:51:00')]"
2024-10-09 02:09:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-10 05:16:00'), ('STEREO A', '2024-10-10 19:43:00')]"
2024-10-09 02:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-09 19:42:00'), ('STEREO A', '2024-10-10 18:14:00')]"
2024-10-09 02:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-09 16:39:00'), ('STEREO A', '2024-10-10 21:38:00')]"
2024-10-09 02:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-10 05:16:00'), ('STEREO A', '2024-10-10 19:43:00')]"
2024-10-09 02:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-09 16:39:00'), ('STEREO A', '2024-10-10 21:38:00')]"
2024-10-12 20:09:00,Solar Orbiter,"[('Solar Orbiter', '2024-10-14 08:00:00')]"
2024-10-19 09:24:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-10-20 09:29:00'), ('Solar Orbiter', '2024-10-20 14:00:00')]"
2024-10-23 12:48:00,"Solar Orbiter, Earth","[('Earth', '2024-10-23 12:48:00'), ('Solar Orbiter', '2024-10-25 07:37:00')]"
2024-10-23 12:48:00,"Solar Orbiter, Earth","[('Earth', '2024-10-23 12:48:00'), ('Solar Orbiter', '2024-10-25 12:00:00')]"
2024-10-24 03:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A, Earth","[('Earth', '2024-10-24 03:48:00'), ('Parker Solar Probe', '2024-10-25 02:47:00'), ('Solar Orbiter', '2024-10-24 23:53:00'), ('STEREO A', '2024-10-26 20:00:00')]"
2024-10-24 03:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A, Earth","[('Earth', '2024-10-24 03:48:00'), ('Parker Solar Probe', '2024-10-25 02:40:00'), ('Solar Orbiter', '2024-10-24 23:54:00'), ('STEREO A', '2024-10-26 20:00:00')]"
2024-10-24 03:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2024-10-25 00:20:00'), ('Solar Orbiter', '2024-10-24 18:16:00'), ('STEREO A', '2024-10-26 00:00:00')]"
2024-10-26 06:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A, Earth","[('Earth', '2024-10-26 06:48:00'), ('Parker Solar Probe', '2024-10-27 07:24:00'), ('Solar Orbiter', '2024-10-27 06:53:00'), ('STEREO A', '2024-10-28 18:00:00')]"
2024-10-26 06:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A, Earth","[('Earth', '2024-10-26 06:48:00'), ('Parker Solar Probe', '2024-10-27 07:03:00'), ('Solar Orbiter', '2024-10-27 06:58:00'), ('STEREO A', '2024-10-28 18:00:00')]"
2024-10-26 06:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2024-10-27 07:21:00'), ('Solar Orbiter', '2024-10-27 01:14:00'), ('STEREO A', '2024-10-28 02:03:00')]"
2024-10-26 06:48:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2024-10-27 07:07:00'), ('Solar Orbiter', '2024-10-27 01:07:00'), ('STEREO A', '2024-10-28 02:22:00')]"
2024-10-29 13:23:00,"STEREO A, Solar Orbiter, Earth","[('Earth', '2024-10-29 13:23:00'), ('STEREO A', '2024-10-31 17:15:00'), ('Solar Orbiter', '2024-10-31 18:00:00')]"
2024-10-29 13:23:00,"STEREO A, Solar Orbiter, Earth","[('Earth', '2024-10-29 13:23:00'), ('STEREO A', '2024-10-31 16:58:00'), ('Solar Orbiter', '2024-10-31 18:00:00')]"
2024-10-29 13:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-31 03:59:00'), ('STEREO A', '2024-10-31 10:50:00')]"
2024-10-29 13:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-10-31 03:53:00'), ('STEREO A', '2024-10-31 10:36:00')]"
2024-10-31 13:48:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-10-31 13:48:00'), ('Solar Orbiter', '2024-11-02 20:50:00'), ('STEREO A', '2024-11-04 02:00:00')]"
2024-11-03 15:27:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2024-11-05 13:28:00'), ('Solar Orbiter', '2024-11-05 14:00:00')]"
2024-11-04 01:36:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2024-11-05 17:36:00'), ('Solar Orbiter', '2024-11-05 10:49:00'), ('STEREO A', '2024-11-07 02:00:00')]"
2024-11-04 01:36:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2024-11-05 18:08:00'), ('Solar Orbiter', '2024-11-05 10:48:00'), ('STEREO A', '2024-11-07 02:00:00')]"
2024-11-04 17:24:00,"Parker Solar Probe, Solar Orbiter, Earth","[('Earth', '2024-11-04 17:24:00'), ('Parker Solar Probe', '2024-11-07 10:00:00'), ('Solar Orbiter', '2024-11-07 10:00:00')]"
2024-11-05 00:09:00,"Parker Solar Probe, Solar Orbiter, Earth","[('Earth', '2024-11-05 00:09:00'), ('Parker Solar Probe', '2024-11-07 10:00:00'), ('Solar Orbiter', '2024-11-06 20:00:00')]"
2024-11-10 12:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-11-13 03:00:00')]"
2024-11-10 17:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-11-13 10:00:00')]"
2024-11-11 01:23:00,"Solar Orbiter, Earth","[('Earth', '2024-11-11 01:23:00'), ('Solar Orbiter', '2024-11-13 02:00:00')]"
2024-11-11 01:23:00,"Solar Orbiter, Earth","[('Earth', '2024-11-11 01:23:00'), ('Solar Orbiter', '2024-11-13 02:00:00')]"
2024-11-13 17:12:00,"Solar Orbiter, Earth","[('Earth', '2024-11-13 17:12:00'), ('Solar Orbiter', '2024-11-16 10:00:00')]"
2024-11-25 03:12:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-11-25 03:12:00'), ('Solar Orbiter', '2024-11-28 18:00:00'), ('STEREO A', '2024-11-29 02:00:00')]"
2024-11-25 03:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:26:00'), ('STEREO A', '2024-11-28 03:13:00')]"
2024-11-25 03:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:09:00'), ('STEREO A', '2024-11-28 02:56:00')]"
2024-11-25 04:00:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-11-25 04:00:00'), ('Solar Orbiter', '2024-11-28 18:00:00'), ('STEREO A', '2024-11-29 02:00:00')]"
2024-11-25 04:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:26:00'), ('STEREO A', '2024-11-28 03:13:00')]"
2024-11-25 04:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:09:00'), ('STEREO A', '2024-11-28 02:56:00')]"
2024-11-25 21:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:16:00'), ('STEREO A', '2024-11-28 03:24:00')]"
2024-11-25 21:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 03:55:00'), ('STEREO A', '2024-11-28 03:07:00')]"
2024-11-25 21:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:26:00'), ('STEREO A', '2024-11-28 03:13:00')]"
2024-11-25 21:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-11-28 04:09:00'), ('STEREO A', '2024-11-28 02:56:00')]"
2024-11-25 21:36:00,"Solar Orbiter, Earth","[('Earth', '2024-11-25 21:36:00'), ('Solar Orbiter', '2024-11-28 22:00:00')]"
2024-11-25 21:36:00,"Solar Orbiter, Earth","[('Earth', '2024-11-25 21:36:00'), ('Solar Orbiter', '2024-11-28 22:00:00')]"
2024-12-08 09:24:00,"STEREO A, Solar Orbiter, Earth","[('Earth', '2024-12-08 09:24:00'), ('STEREO A', '2024-12-10 23:23:00'), ('Solar Orbiter', '2024-12-11 10:00:00')]"
2024-12-08 09:24:00,"STEREO A, Solar Orbiter, Earth","[('Earth', '2024-12-08 09:24:00'), ('STEREO A', '2024-12-10 23:01:00'), ('Solar Orbiter', '2024-12-11 10:00:00')]"
2024-12-10 09:53:00,"Solar Orbiter, Earth","[('Earth', '2024-12-10 09:53:00'), ('Solar Orbiter', '2024-12-15 12:00:00')]"
2024-12-11 10:38:00,Solar Orbiter,"[('Solar Orbiter', '2024-12-14 04:00:00')]"
2024-12-15 01:25:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-12-18 04:40:00'), ('Solar Orbiter', '2024-12-17 21:00:00')]"
2024-12-15 04:23:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-12-18 02:50:00'), ('Solar Orbiter', '2024-12-17 20:00:00')]"
2024-12-15 04:23:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-12-18 04:40:00'), ('Solar Orbiter', '2024-12-17 21:00:00')]"
2024-12-20 01:38:00,Solar Orbiter,"[('Solar Orbiter', '2024-12-23 08:00:00')]"
2024-12-20 10:24:00,Solar Orbiter,"[('Solar Orbiter', '2024-12-23 08:00:00')]"
2024-12-20 23:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-23 21:29:00'), ('STEREO A', '2024-12-23 22:00:00')]"
2024-12-22 21:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-22 21:36:00'), ('Solar Orbiter', '2024-12-25 18:00:00'), ('STEREO A', '2024-12-26 22:00:00')]"
2024-12-23 11:36:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-12-26 00:38:00'), ('Solar Orbiter', '2024-12-25 22:00:00')]"
2024-12-23 11:36:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-12-26 00:32:00'), ('Solar Orbiter', '2024-12-25 22:00:00')]"
2024-12-23 21:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-23 21:36:00'), ('Solar Orbiter', '2024-12-28 04:00:00'), ('STEREO A', '2024-12-28 08:00:00')]"
2024-12-23 21:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-23 21:36:00'), ('Solar Orbiter', '2024-12-28 00:00:00'), ('STEREO A', '2024-12-27 14:00:00')]"
2024-12-24 00:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-24 00:36:00'), ('Solar Orbiter', '2024-12-28 04:00:00'), ('STEREO A', '2024-12-27 22:00:00')]"
2024-12-24 00:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-24 00:36:00'), ('Solar Orbiter', '2024-12-28 00:00:00'), ('STEREO A', '2024-12-27 14:00:00')]"
2024-12-24 09:24:00,"Solar Orbiter, Earth","[('Earth', '2024-12-24 09:24:00'), ('Solar Orbiter', '2024-12-28 10:00:00')]"
2024-12-24 09:24:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-24 09:24:00'), ('Solar Orbiter', '2024-12-28 00:00:00'), ('STEREO A', '2024-12-27 14:00:00')]"
2024-12-25 04:48:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-12-25 04:48:00'), ('Solar Orbiter', '2024-12-28 06:00:00'), ('STEREO A', '2024-12-27 10:00:00')]"
2024-12-25 17:12:00,"Solar Orbiter, Earth","[('Earth', '2024-12-25 17:12:00'), ('Solar Orbiter', '2024-12-29 16:00:00')]"
2024-12-26 19:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-12-30 04:00:00')]"
2024-12-26 19:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-12-30 04:00:00')]"
2024-12-26 19:12:00,"Solar Orbiter, Earth","[('Earth', '2024-12-26 19:12:00'), ('Solar Orbiter', '2024-12-30 02:00:00')]"
2024-12-28 06:48:00,"Solar Orbiter, Earth","[('Earth', '2024-12-28 06:48:00'), ('Solar Orbiter', '2025-01-01 00:00:00')]"
2024-12-28 18:36:00,Solar Orbiter,"[('Solar Orbiter', '2024-12-31 10:00:00')]"
2024-12-29 01:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 15:47:00'), ('STEREO A', '2025-01-01 04:00:00')]"
2024-12-29 01:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 10:12:00'), ('STEREO A', '2025-01-01 00:31:00')]"
2024-12-29 01:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 10:13:00'), ('STEREO A', '2025-01-01 00:31:00')]"
2024-12-29 06:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 09:22:00'), ('STEREO A', '2025-01-01 01:22:00')]"
2024-12-29 06:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 09:15:00'), ('STEREO A', '2025-01-01 01:20:00')]"
2024-12-29 06:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 10:12:00'), ('STEREO A', '2025-01-01 00:31:00')]"
2024-12-29 06:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 10:13:00'), ('STEREO A', '2025-01-01 00:31:00')]"
2024-12-29 06:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 02:54:00'), ('STEREO A', '2024-12-31 19:41:00')]"
2024-12-29 06:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 02:53:00'), ('STEREO A', '2024-12-31 19:58:00')]"
2024-12-29 18:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 19:58:00'), ('STEREO A', '2025-01-01 11:07:00')]"
2024-12-29 18:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 10:12:00'), ('STEREO A', '2025-01-01 00:31:00')]"
2024-12-29 18:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-12-31 10:13:00'), ('STEREO A', '2025-01-01 00:31:00')]"
