Start Time,Impact Locations,Impact Locations with arrival times
2025-11-04 22:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 23:08:00'), ('Solar Orbiter', '2025-11-07 00:00:00')]"
2025-11-04 22:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:51:00'), ('Solar Orbiter', '2025-11-07 08:00:00')]"
2025-11-04 22:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:35:00'), ('Solar Orbiter', '2025-11-07 07:50:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 19:35:00'), ('Solar Orbiter', '2025-11-07 02:00:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 19:28:00'), ('Solar Orbiter', '2025-11-07 02:00:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 23:08:00'), ('Solar Orbiter', '2025-11-07 00:00:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:51:00'), ('Solar Orbiter', '2025-11-07 08:00:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:35:00'), ('Solar Orbiter', '2025-11-07 07:50:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2025-11-07 03:17:00'), ('Solar Orbiter', '2025-11-06 14:04:00'), ('STEREO A', '2025-11-07 14:00:00')]"
2025-11-05 10:53:00,"Parker Solar Probe, Solar Orbiter, STEREO A","[('Parker Solar Probe', '2025-11-07 03:18:00'), ('Solar Orbiter', '2025-11-06 13:58:00'), ('STEREO A', '2025-11-07 14:00:00')]"
2025-11-05 22:23:00,"Solar Orbiter, Parker Solar Probe, STEREO A","[('Solar Orbiter', '2025-11-07 08:43:00'), ('Parker Solar Probe', '2025-11-07 15:00:00'), ('STEREO A', '2025-11-08 12:00:00')]"
2025-11-05 22:23:00,"Solar Orbiter, Parker Solar Probe, STEREO A","[('Solar Orbiter', '2025-11-07 08:20:00'), ('Parker Solar Probe', '2025-11-07 15:00:00'), ('STEREO A', '2025-11-08 12:00:00')]"
2025-11-05 22:23:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:51:00'), ('Solar Orbiter', '2025-11-07 08:00:00')]"
2025-11-05 22:23:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:35:00'), ('Solar Orbiter', '2025-11-07 07:50:00')]"
2025-11-05 22:23:00,"Solar Orbiter, Parker Solar Probe, STEREO A","[('Solar Orbiter', '2025-11-07 08:01:00'), ('Parker Solar Probe', '2025-11-07 14:00:00'), ('STEREO A', '2025-11-08 09:00:00')]"
2025-11-05 22:23:00,"Solar Orbiter, Parker Solar Probe, STEREO A","[('Solar Orbiter', '2025-11-07 07:39:00'), ('Parker Solar Probe', '2025-11-07 14:00:00'), ('STEREO A', '2025-11-08 09:00:00')]"
2025-11-05 23:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-07 15:00:00'), ('Solar Orbiter', '2025-11-07 14:00:00')]"
2025-11-05 23:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:51:00'), ('Solar Orbiter', '2025-11-07 08:00:00')]"
2025-11-05 23:00:00,"Parker Solar Probe, Solar Orbiter","[('Parker Solar Probe', '2025-11-06 18:35:00'), ('Solar Orbiter', '2025-11-07 07:50:00')]"
2025-11-07 07:23:00,"Parker Solar Probe, Solar Orbiter, Earth","[('Earth', '2025-11-07 07:23:00'), ('Parker Solar Probe', '2025-11-09 00:00:00'), ('Solar Orbiter', '2025-11-09 10:00:00')]"
2025-11-07 07:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-09 01:40:00'), ('STEREO A', '2025-11-09 22:07:00')]"
2025-11-09 07:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 01:25:00'), ('STEREO A', '2025-11-11 07:00:00')]"
2025-11-09 07:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:14:00'), ('STEREO A', '2025-11-11 07:00:00')]"
2025-11-09 07:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:50:00'), ('STEREO A', '2025-11-11 21:06:00')]"
2025-11-09 07:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:27:00'), ('STEREO A', '2025-11-11 20:55:00')]"
2025-11-09 07:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:08:00'), ('STEREO A', '2025-11-11 20:48:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 17:24:00'), ('STEREO A', '2025-11-11 21:20:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 17:41:00'), ('STEREO A', '2025-11-11 21:14:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:50:00'), ('STEREO A', '2025-11-11 21:06:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 17:35:00'), ('STEREO A', '2025-11-11 21:31:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 17:31:00'), ('STEREO A', '2025-11-11 21:19:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:27:00'), ('STEREO A', '2025-11-11 20:55:00')]"
2025-11-10 09:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:08:00'), ('STEREO A', '2025-11-11 20:48:00')]"
2025-11-10 13:08:00,Solar Orbiter,"[('Solar Orbiter', '2025-11-12 18:49:00')]"
2025-11-10 13:08:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:27:00'), ('STEREO A', '2025-11-11 20:55:00')]"
2025-11-10 13:08:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:08:00'), ('STEREO A', '2025-11-11 20:48:00')]"
2025-11-11 10:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-12 11:51:00'), ('STEREO A', '2025-11-12 14:42:00')]"
2025-11-11 10:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-12 11:54:00'), ('STEREO A', '2025-11-12 14:39:00')]"
2025-11-11 10:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 17:35:00'), ('STEREO A', '2025-11-11 21:31:00')]"
2025-11-11 10:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 17:31:00'), ('STEREO A', '2025-11-11 21:19:00')]"
2025-11-11 10:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:27:00'), ('STEREO A', '2025-11-11 20:55:00')]"
2025-11-11 10:23:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-11 02:08:00'), ('STEREO A', '2025-11-11 20:48:00')]"
2025-11-13 03:24:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-11-15 12:36:00'), ('Solar Orbiter', '2025-11-15 12:00:00')]"
2025-11-13 03:24:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-11-15 12:52:00'), ('Solar Orbiter', '2025-11-15 12:00:00')]"
2025-11-14 08:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-11-15 19:13:00'), ('STEREO A', '2025-11-16 03:02:00')]"
2025-11-14 08:00:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2025-11-14 08:00:00'), ('Solar Orbiter', '2025-11-15 20:41:00'), ('STEREO A', '2025-11-15 20:37:00')]"
2025-11-14 08:00:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2025-11-14 08:00:00'), ('Solar Orbiter', '2025-11-15 20:58:00'), ('STEREO A', '2025-11-15 20:50:00')]"
2025-12-03 11:06:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-12-06 11:00:00'), ('Solar Orbiter', '2025-12-06 06:00:00')]"
2025-12-03 11:06:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-12-06 11:00:00'), ('Solar Orbiter', '2025-12-06 06:00:00')]"
2025-12-05 07:09:00,"Solar Orbiter, Earth","[('Earth', '2025-12-05 07:09:00'), ('Solar Orbiter', '2025-12-08 00:00:00')]"
2025-12-05 07:09:00,"Solar Orbiter, Earth","[('Earth', '2025-12-05 07:09:00'), ('Solar Orbiter', '2025-12-08 00:00:00')]"
2025-12-05 17:23:00,Solar Orbiter,"[('Solar Orbiter', '2025-12-09 18:00:00')]"
2025-12-06 19:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-12-09 23:00:00')]"
2025-12-06 19:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-12-09 23:00:00')]"
2025-12-06 19:48:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-08 19:50:00'), ('STEREO A', '2025-12-09 00:30:00')]"
2025-12-06 21:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-08 20:08:00'), ('STEREO A', '2025-12-08 22:00:00')]"
2025-12-06 21:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-08 19:55:00'), ('STEREO A', '2025-12-08 22:00:00')]"
2025-12-06 21:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-08 19:50:00'), ('STEREO A', '2025-12-09 00:30:00')]"
2025-12-06 21:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-08 18:40:00'), ('STEREO A', '2025-10-09 04:00:00')]"
2025-12-08 01:38:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-10 07:36:00'), ('STEREO A', '2025-12-10 18:00:00')]"
2025-12-08 01:38:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-10 07:09:00'), ('STEREO A', '2025-12-10 18:00:00')]"
2025-12-08 01:38:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-10 07:48:00'), ('STEREO A', '2025-12-10 18:00:00')]"
2025-12-08 01:38:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-10 07:26:00'), ('STEREO A', '2025-12-10 18:00:00')]"
2025-12-08 05:12:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2025-12-08 05:12:00'), ('Solar Orbiter', '2025-12-10 22:07:00'), ('STEREO A', '2025-12-10 22:02:00')]"
2025-12-08 05:12:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2025-12-08 05:12:00'), ('Solar Orbiter', '2025-12-10 21:48:00'), ('STEREO A', '2025-12-10 22:41:00')]"
2025-12-08 05:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-10 07:48:00'), ('STEREO A', '2025-12-10 18:00:00')]"
2025-12-08 05:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-10 07:26:00'), ('STEREO A', '2025-12-10 18:00:00')]"
2025-12-08 22:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-11 10:00:00'), ('STEREO A', '2025-12-11 23:00:00')]"
2025-12-08 22:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-11 08:26:00'), ('STEREO A', '2025-12-11 21:00:00')]"
2025-12-08 22:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-11 08:19:00'), ('STEREO A', '2025-12-11 21:00:00')]"
2025-12-09 00:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-11 15:00:00'), ('STEREO A', '2025-12-11 23:00:00')]"
2025-12-09 00:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-11 08:26:00'), ('STEREO A', '2025-12-11 21:00:00')]"
2025-12-09 00:12:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-12-11 08:19:00'), ('STEREO A', '2025-12-11 21:00:00')]"
